,ensembl_gene_id,external_gene_name
0,ENSG00000210049,MT-TF
1,ENSG00000211459,MT-RNR1
2,ENSG00000210077,MT-TV
3,ENSG00000210082,MT-RNR2
4,ENSG00000209082,MT-TL1
5,ENSG00000198888,MT-ND1
6,ENSG00000210100,MT-TI
7,ENSG00000210107,MT-TQ
8,ENSG00000210112,MT-TM
9,ENSG00000198763,MT-ND2
10,ENSG00000210117,MT-TW
11,ENSG00000210127,MT-TA
12,ENSG00000210135,MT-TN
13,ENSG00000210140,MT-TC
14,ENSG00000210144,MT-TY
15,ENSG00000198804,MT-CO1
16,ENSG00000210151,MT-TS1
17,ENSG00000210154,MT-TD
18,ENSG00000198712,MT-CO2
19,ENSG00000210156,MT-TK
20,ENSG00000228253,MT-ATP8
21,ENSG00000198899,MT-ATP6
22,ENSG00000198938,MT-CO3
23,ENSG00000210164,MT-TG
24,ENSG00000198840,MT-ND3
25,ENSG00000210174,MT-TR
26,ENSG00000212907,MT-ND4L
27,ENSG00000198886,MT-ND4
28,ENSG00000210176,MT-TH
29,ENSG00000210184,MT-TS2
30,ENSG00000210191,MT-TL2
31,ENSG00000198786,MT-ND5
32,ENSG00000198695,MT-ND6
33,ENSG00000210194,MT-TE
34,ENSG00000198727,MT-CYB
35,ENSG00000210195,MT-TT
36,ENSG00000210196,MT-TP
37,ENSG00000278457,5S_rRNA
38,ENSG00000276197,
39,ENSG00000278625,U6
40,ENSG00000271254,
41,ENSG00000278633,
42,ENSG00000277630,
43,ENSG00000278573,
44,ENSG00000278294,5_8S_rRNA
45,ENSG00000274917,RNA5-8SN5
46,ENSG00000278066,
47,ENSG00000273730,5_8S_rRNA
48,ENSG00000277196,
49,ENSG00000273937,
50,ENSG00000278793,U6
51,ENSG00000278817,
52,ENSG00000276017,
53,ENSG00000274202,U2
54,ENSG00000275987,U1
55,ENSG00000268674,
56,ENSG00000275661,
57,ENSG00000276351,
58,ENSG00000277475,
59,ENSG00000276345,
60,ENSG00000275405,U1
61,ENSG00000273532,
62,ENSG00000276711,U2
63,ENSG00000278384,
64,ENSG00000276312,
65,ENSG00000276700,RNA5-8SN4
66,ENSG00000275757,5_8S_rRNA
67,ENSG00000273739,
68,ENSG00000274175,
69,ENSG00000273554,
70,ENSG00000275869,
71,ENSG00000278510,
72,ENSG00000273843,
73,ENSG00000277836,
